time,altitude,acceleration
451.781,36.09570253,9.7674234
451.948,35.26059128,10.30678915
452.104,34.38890582,10.05181625
452.271,33.55074672,11.79739995
452.447,32.62419994,10.22833595
452.607,31.70374886,10.3754357
452.767,30.78329778,9.93413645
452.924,29.89637306,11.0619012
453.073,28.96677842,9.62032365
453.243,27.97927461,10.54214875
453.411,26.88509601,11.32668075
453.574,26.29076501,12.36618565
453.734,25.39774459,12.7094184
453.894,24.67235599,11.66010685
454.036,24.07192929,9.4928372
454.183,23.63303871,10.18910935
454.332,23.05394697,10.09104285
454.494,22.56019506,10.07142955
454.664,21.99634258,9.9831697
454.816,21.38372447,10.58137535
454.973,20.88082902,10.62060195
455.144,20.2316367,10.79712165
455.289,19.6494971,9.30651085
455.475,18.50350503,12.0229529
455.634,17.75068577,11.4737805
455.814,16.9856751,10.591182
455.974,16.38829625,9.03192465
456.134,15.55013715,11.1207411
456.301,14.58701615,9.44380395
456.481,13.8463883,12.64077185
456.674,13.05089912,10.46369555
456.819,12.48704663,10.3165958
456.977,11.59097836,9.5516771
457.174,10.41755562,10.46369555
457.334,9.457482475,10.44408225
457.501,8.543127095,10.6696352
457.681,7.650106675,11.67972015
457.874,6.501066748,10.591182
458.017,5.80615666,11.89546645
458.163,5.147820786,11.32668075
458.314,4.327948796,10.20872265
458.474,3.508076806,9.81645665
458.624,2.666869857,11.56204035
458.814,1.670222493,9.69877685
458.974,0.86863761,9.022118
459.141,-0.862541908,62.06628785
459.313,-1.743370923,1.2356379
459.463,-2.435233161,10.6107953
459.606,-3.185004572,16.2005858
459.753,-3.843340445,17.66177665
459.917,-4.257848217,11.16977435
460.074,-4.657116733,9.42419065
460.234,-4.995428223,9.75761675
460.394,-5.248399878,9.6889702
460.554,-4.69978665,9.6693569
460.714,-4.693690948,9.46341725
460.857,-4.690643097,9.52225715
461.018,-4.69978665,9.5124505
461.177,-4.763791527,9.50264385
461.338,-4.724169461,9.52225715
461.501,-4.742456568,9.5320638
461.694,-4.739408717,9.5124505
461.861,-4.620542518,9.50264385
462.034,-4.55348979,9.5124505
462.201,-4.547394087,9.5320638
462.377,-4.571776897,9.5320638
462.537,-4.635781774,9.50264385
462.694,-4.681499543,9.5320638
462.854,-4.632733923,9.52225715
463.014,-4.724169461,9.5124505
463.174,-4.809509296,9.52225715
463.341,-4.882657726,9.5320638
463.52,-4.946662603,9.5320638
463.705,-4.937519049,9.5320638
463.884,-4.967997562,9.5516771
464.051,-5.0594331,9.52225715
464.214,-5.13258153,9.5516771
464.374,-5.196586407,9.5320638
464.534,-5.245352027,9.54187045
464.676,-5.294117647,9.54187045
464.823,-5.342883267,9.54187045
464.973,-5.37336178,9.52225715
465.14,-5.391648888,9.5320638
465.311,-5.306309052,9.5320638
465.478,-5.336787565,9.5320638
465.64,-5.294117647,9.54187045
465.819,-5.312404755,9.54187045
465.977,-5.208777812,9.5320638
466.148,-5.13258153,9.5516771
466.307,-5.123437976,9.5320638
466.468,-5.117342274,9.5320638
466.631,-5.080768059,9.5320638
466.824,-5.077720207,9.5320638
466.967,-5.025906736,9.5320638
467.127,-4.977141116,9.54187045
467.288,-5.010667479,9.5320638
467.448,-4.992380372,9.54187045
467.604,-4.952758305,9.5320638
467.764,-4.900944834,9.54187045
467.924,-4.900944834,9.5320638
468.084,-4.900944834,9.5320638
468.227,-4.928375495,9.5320638
468.387,-4.855227065,9.54187045
468.547,-4.839987809,9.5320638
468.707,-4.888753429,9.5516771
468.879,-4.907040536,9.5320638
469.037,-4.824748552,9.54187045
469.234,-4.803413593,9.5320638
469.394,-4.711978055,9.5320638
469.537,-4.754647973,9.5320638
469.689,-4.809509296,9.54187045
469.843,-4.779030783,9.54187045
469.993,-4.754647973,9.5320638
470.136,-4.76988723,9.5320638
470.282,-4.797317891,9.54187045
470.448,-4.888753429,9.54187045
470.604,-4.931423347,9.5320638
470.764,-4.974093264,9.5320638
470.924,-4.900944834,9.54187045
471.084,-4.943614752,9.5320638
471.267,-4.949710454,9.5320638
471.43,-4.974093264,9.5320638
471.597,-5.007619628,9.5320638
471.75,-4.980188967,9.54187045
471.945,-4.958854008,9.5320638
472.124,-5.0594331,9.5320638
472.291,-5.092959464,9.5320638
472.467,-5.105150869,9.5320638
472.63,-5.141725084,9.5320638
472.824,-5.178299299,9.54187045
473.004,-5.184395002,9.5320638
473.164,-5.111246571,9.5516771
473.335,-5.123437976,9.54187045
473.508,-5.086863761,9.5320638
473.668,-5.041145992,9.52225715
473.824,-4.986284669,9.54187045
473.984,-4.967997562,9.54187045
474.144,-4.961901859,9.54187045
474.311,-5.050289546,9.54187045
474.487,-5.102103017,9.5516771
474.644,-5.062480951,9.5516771
474.804,-5.10819872,9.54187045
475.883,-5.172203596,9.5320638
476.93,-5.153916489,9.52225715
477.973,-5.001523926,9.5320638
478.994,-5.184395002,9.5320638
480.049,-5.019811033,9.5516771
481.084,-4.888753429,9.5516771
482.07,-5.0594331,9.54187045
483.11,-5.025906736,9.5320638
484.181,-4.919231941,9.5320638
